Row Labels;Sum of q2_gms
32918809512;6051.3
32920483612;9169.6
32921377812;12169.11
32924861112;7588.28
32925567812;27
32925706012;49
32929391112;
32934512912;252924.75
32938580212;43822.62
32939884112;
32949340212;24471.81
32952814012;
32956989912;1395
32965183512;3289
32972818712;3402.37
32974502712;3359
32974741912;
32990663112;2767.8
32992031112;1851
32993825912;6011
32997627712;91
32998123112;17498.85
32998383112;
32998402512;1086.45
32998407612;25509.35
32998511612;8012.31
32998906612;1856
33000183812;440776.27
33001680112;15133.8
33003052412;74446.56
33004489612;1957
33005482812;103789.33
33010709812;1148.9
33012492612;19079.34
33014564412;2751.31
33017007812;
33020013912;1549.94
33021586112;13159.5
33022744812;4428
33060798012;1001.8
33063847712;19804.34
33068877312;75
33073260812;1127.91
33076392612;13644.1
33077691212;2088
33078892612;13372.2
33084530812;12348.14
33085640812;10922.7
33142973512;1649.4
33143037112;4434
33143800812;1034954.09
33145274712;12
33148641312;15026.84
33149045712;129770.13
33153709312;41564.65
33156596512;31
33159020412;10235.88
33159148312;1849.6
33162717712;59666.62
33164199312;30031.5
33164225712;149519.21
33165767912;1073
33168628312;145
33170572912;2317.78
33173366312;26844.77
33174818512;449992.1
33177968412;63477.03
33178651612;
33181542812;395
33182647212;2337.8
33202024812;
33206025712;739.9
33220043512;1799.99
33222011412;72
33224160012;8
33224794812;5340.2
33227383012;4648.4
33231195012;19538.05
33231443412;16510.27
33233443412;34874.72
33233754412;1531
33240578212;92335.45
33249160512;
33249898112;7653.1
33250968112;325
33256773712;402
33258194012;1974.63
33275508912;9470.08
33282282812;42586.59
33283664412;26506.28
33287966012;16301.41
33298286712;3999
33303302612;18658.6
33304618712;22189.9
33313723512;3379.8
33318599512;275401.44
33319190412;36
33321141212;19722.33
33321446112;749.9
33325530712;165663.39
33333203312;19280.62
33399909412;2172.59
33410076212;6865
33415789312;1965
33418356012;37
33426051212;13797.19
33434414812;158.06
33437091012;1374
33441550012;2824
33464084312;20234.19
33485254712;310580.29
33494722012;84
33511806212;89
33514001112;
33523986312;8018.47
33538937912;3192.53
33544866712;3998.6
33549020012;174
33549305612;67
33554089012;3279
33555757212;3975.9
33557400312;23117.5
33560194512;
33568081112;38231.53
33571005512;1612.9
33572138712;14732.36
33575297612;61
33576873602;96821.4
33577343212;3001.11
33583604312;168
33589799712;876
33594725912;320.24
33598209512;1608
33600154412;
33608154712;5189.09
33609032512;71
33612105812;3628.79
33613622412;22247.95
33623167812;52185.01
33645976612;92416.46
33650342912;5106.04
33656074712;28498.03
33661781012;
33680023412;2
33728678012;35144.73
33731491212;12401.23
33742990012;-26896
33748560512;44
33748797212;
33749653312;30335.42
33754315812;7661
33763387912;14784.36
33763911512;
33764310712;88766.9
33801777112;11977.2
33827566712;62005.55
33887905812;
33985043612;308755.46
34093283712;405
34123008412;1008
34130829212;1085
34143382912;2788.2
34152860115;2845
34155125212;53607.73
34157166812;5979
34157764712;2032
34158002912;2039.8
34158628012;6565.8
34158965112;12154.95
34185368112;2069
34188984712;5378.6
34189414412;
34207554912;
34217017912;
34227316212;
34254834912;738
34258510612;901.55
34298550712;6134.1
34369562512;-3323
34372600512;99
34372759312;-75
34388235712;1556
34389204412;689
